MODEL;File name;JOB_ID;CPU;Memory Usage;TIME mmseqs (min);TIME ALPHAFOLD (min);TEMPLATE;sensitivity;max_seqs;Total_time
monomer;file2;9126;10;85;00:07:24;00:13:37;NO;2;300;00:21:01
monomer;file2;9098;10;85;00:18:42;;YES;2;300;
monomer;file2;8719;12;100;00:05:00;00:19:58;YES;2;300;00:24:58
monomer;file3;9088;10;100;00:08:50;00:16:43;YES;2;300;00:25:33
monomer;file3;8862;12;100;00:12:07;00:15:15;NO;2;300;00:27:22
monomer;file3;8870;12;100;00:05:42;00:12:45;YES;2;300;00:18:27
monomer;file3;8868;12;100;00:05:31;00:12:46;YES;2;300;00:18:17
monomer;file3;8887;12;100;00:04:32;00:13:52;YES;2;100;00:18:24
monomer;file3;9127;10;85;04:38:13;00:16:33;NO;5;300;04:54:46
monomer;hemoglobin;9218;16;85;00:20:24;00:12:43;YES;3;300;00:33:07
monomer;hemoglobin;9221;20;85;02:50:35;00:12:24;YES;5;30;01:33:07
monomer;query;9205;12;85;01:13:48;00:14:00;YES;4;300;01:27:48
monomer;query;9173;15;85;00:03:31;00:13:37;NO;2;300;00:17:08
monomer;query;9178;15;85;00:22:32;00:14:04;YES;3;300;00:36:36
monomer;query;9114;10;85;03:06:27;00:13:12;YES;5;300;03:19:39
monomer;query;9131;15;85;03:14:29;00:14:24;NO;5;300;03:28:53
monomer;query;9115;12;85;00:08:11;00:13:24;NO;2;300;00:21:35
multimer;file;9082;12;85;00:33:07;02:28:36;YES;2;100;03:01:43
multimer;file;9177;15;85;00:51:36;02:13:48;YES;3;300;03:05:24
multimer;file;9174;15;85;01:11:10;02:15:40;YES;3;300;03:26:50
multimer;file;9204;12;85;02:38:48;02:15:25;YES;4;300;04:54:13
multimer;file;9215;15;85;02:12:47;02:15:11;NO;4;300;04:27:58
multimer;file;9130;15;85;05:00:00;;NO;5;300;
multimer;file;9252;15;85;03:35:16;02:16:44;NO;1;300;05:52:00
monomer;file1;9275;15;85;00:06:01;00:12:36;NO;2;300;00:18:37
monomer;file1;9275;15;85;00:56:25;00:12:36;YES;5;300;01:09:01
